COL0,COL1,COL2,COL3,COL4,COL5
4641,2,9273.84,0.00,A,finally silent depos
182,3,22725.78,0.03,A,regular ideas after the carefully
56720,4,35211.12,0.08,A,blithely bold pinto beans are quickly even 
92995,5,37771.81,0.00,A,carefully fina
152753,6,57784.00,0.06,A,carefully pending requests cajo
195061,1,20809.08,0.07,R,dogged
188735,2,69301.74,0.07,A,carefully spec
65213,3,42415.56,0.08,R,regular
20101,4,18379.80,0.09,A,unusual ideas hinder. blithely bold foxes w
23480,5,53332.24,0.06,R,carefully ironi
190307,1,43316.30,0.04,N,never ironic courts at the 
23786,1,13678.24,0.08,N,quickly pending requests around 
158813,2,37436.20,0.00,N,final foxes cajole. unusu
161089,3,18401.28,0.07,N,furiously regular ideas sleep 
86490,1,2952.98,0.07,N,blithely express deposits detect blithely
33096,2,6174.54,0.06,N,fluffily regula
36565,3,9009.36,0.08,N,carefully express instructions outside
137608,4,8228.00,0.03,N,carefully special de
25886,1,45297.00,0.06,A,final foxes above th
63233,2,16747.22,0.08,R,furiously sil
155542,1,63901.60,0.02,N,quickly even dependencies haggle
187025,2,25576.46,0.05,N,carefully si
150618,1,15017.49,0.00,N,quickly pending accounts co
32145,2,42008.46,0.02,N,theodolites nod quickly. blithely expres
59048,3,6042.24,0.03,N,even foxes lose closely even
6189,4,44902.38,0.04,N,unusual
12612,5,42689.08,0.00,N,final deposits should ha
166717,6,8918.55,0.05,N,quickly ironic waters eat slyly acro
84916,1,62730.03,0.03,N,ideas wake sl
173320,2,43192.92,0.04,N,deposits wil
184444,3,29040.36,0.04,N,deposits solve quickly. foxes 
63384,1,55242.58,0.09,N,even
92527,2,21273.28,0.06,N,furiously silent depths
100106,3,54198.90,0.10,N,furiously regular theodolites wake qu
74925,4,56997.60,0.10,N,even deposits wa
56409,1,9557.80,0.07,N,carefully final requests sleep slyly. even
50262,2,59400.74,0.05,N,carefully regular
140309,3,56670.60,0.07,N,pending
167750,4,65439.00,0.06,N,slyly final foxes nag permanen
144364,1,1408.36,0.07,N,bold accounts affix blithely final 
119625,2,77297.14,0.10,N,blithely bold ideas play flu
129431,3,49654.62,0.01,N,furiously regu
141250,4,42611.25,0.10,N,slyly final accounts abou
188537,5,21131.89,0.04,N,final deposits haggle blithely a
153579,1,31018.83,0.08,N,quickly regular foxes sleep slyly 
197310,2,56292.40,0.03,N,asymptotes solve idle idea
65533,1,31469.13,0.01,R,furiously even packages use amon
110792,1,88336.71,0.10,N,slyly bold accounts alongside
67896,2,20502.79,0.07,N,furiously 
117617,3,42499.86,0.09,N,blithely ironic accounts d
185206,4,21950.40,0.03,N,blithely even orbits wake 
145743,5,69760.86,0.08,N,fluffily fi
94365,6,6796.80,0.00,N,regular foxes haggle furiously across t
189280,7,36970.56,0.06,N,requests at the slyly ir
16855,1,69102.15,0.05,R,carefully bold accou
80676,2,1656.67,0.08,R,ironic deposits kindle carefully
119545,3,61017.06,0.09,A,ironic requ
184959,1,10219.75,0.07,R,ironic pains boost
194864,2,54848.08,0.07,R,carefully express t
66130,3,53710.37,0.00,A,ironic theo
38942,4,52666.32,0.05,A,fluffily pending pla
87737,5,1724.73,0.08,R,furiously bold deposits wake slyly furiousl
188203,6,42609.60,0.10,R,thinly even p
90027,1,17289.34,0.06,N,asymptotes de
78348,2,7958.04,0.05,N,quickly bold theodolites are requests-- 
185016,3,3303.03,0.03,N,quickly unusual excuses wake regularly at
158304,4,9536.10,0.02,N,bold asymptotes sl
194109,1,25265.10,0.00,R,unusual
186897,2,95226.72,0.07,A,carefully even foxes hagg
166963,3,87288.28,0.05,A,even
146951,4,27971.30,0.04,A,regular
195308,5,42099.00,0.08,R,pending foxes cajole daringly careful
136241,6,61307.52,0.04,A,slyly pending inst
104545,1,55783.44,0.10,A,requests x-ray? carefully ironic in
92997,1,97509.51,0.09,R,carefully unusual deposits sublate permane
416,2,52656.40,0.09,A,fluffily re
179475,3,34198.34,0.05,A,even reque
31474,4,63246.15,0.07,R,foxes wake caref
125192,1,21909.42,0.01,R,blithely unusual requests across the caref
99477,2,1476.47,0.09,R,even platelets engage blithe
94311,3,52212.40,0.05,R,thinly unusual packages use blithely blithe
70043,4,25326.00,0.03,A,furiously 
3794,5,69609.39,0.07,R,unusual deposits c
53624,1,41018.12,0.10,A,regular deposits cajole blithely ac
12260,1,32823.28,0.00,A,pending warthogs boost blithely carefully
50168,2,53671.68,0.01,N,final
162447,3,34717.12,0.05,N,slyly thin deposits boost final
44743,4,65821.86,0.08,A,quickly regular asympto
189459,5,72777.15,0.10,R,foxes wake carefully. final
133143,1,54102.44,0.02,A,quickly express foxes are fl
129821,2,20359.02,0.05,A,requests haggle furiously along the final 
100047,3,46069.76,0.04,R,ideas wake. blithely unusual th
79744,4,12066.18,0.01,A,unusual packages are carefully fi
49295,5,28618.67,0.02,R,carefully fi
84932,6,63258.69,0.00,R,final
50239,7,45190.74,0.08,R,pinto beans after the carefully 
159694,1,57871.77,0.01,A,silent accounts about the even
169422,2,70096.74,0.07,R,fluffily pendi
69227,3,55026.12,0.10,A,quickly regu
95402,4,68472.60,0.05,R,express in
4703,5,69131.10,0.06,A,silent platelets cajole except the f
33631,6,28163.34,0.10,A,carefully iro
27031,7,8622.27,0.03,A,slyly unusual excuses haggle slyly 
108975,1,61503.07,0.00,R,unusual foxes wake. furiousl
126723,2,1749.72,0.07,A,furiously express ideas 
29744,3,40169.76,0.06,A,special theod
98738,4,59048.82,0.01,R,blithely final pa
89173,5,19756.89,0.04,A,ironic pinto beans h
114481,6,59819.20,0.10,R,slyly even pack
16310,1,50278.71,0.08,N,platelets cajole slyly packa
112177,2,5945.85,0.10,N,final pinto beans integrate blithely
152882,3,29023.20,0.08,N,slyly unusual theodolites ag
172190,1,51749.79,0.06,R,even instructi
189656,2,15710.85,0.03,R,ironic instructi
142390,3,50133.65,0.02,R,regular gifts haggle furiously.
70495,1,32240.78,0.03,R,carefully close pinto beans cajole slyl
101366,1,31449.28,0.06,A,ironic foxes haggle instruction
58285,2,4973.12,0.02,R,furiously final foxes haggle: slyly pendin
156455,1,1511.45,0.04,N,slyly express requests haggl
136633,2,58437.05,0.08,N,fluffily regular platelets sleep boldly. 
175802,3,63845.20,0.10,N,carefully even deposits use 
99269,4,19023.90,0.09,N,blithely ir
4669,5,72388.36,0.09,N,fluffily silent foxes wake fluffily 
50972,1,17306.73,0.09,N,slyly brave t
77668,2,32913.20,0.07,N,special gifts across the pending
162330,3,48731.55,0.05,N,furiously express deposits impress furious
72825,4,43147.68,0.01,N,slyly unusual deposits above the ir
165127,5,36955.72,0.01,N,quickly bold ideas use 
75930,6,62895.69,0.09,N,carefully ironi
142123,7,12816.32,0.07,N,thin requests bet
58986,1,62239.36,0.04,R,unusual
167361,2,55706.04,0.00,R,express requests boost. bl
23226,3,52864.12,0.01,R,slyly special packages cajole
147638,4,1685.63,0.06,R,furiously final account
149613,5,41565.25,0.00,A,carefully silent deposits cajole carefull
145537,1,31650.60,0.05,R,fluffily ironic courts 
36553,2,32770.10,0.01,A,carefully express pinto beans 
142489,3,24503.68,0.06,R,slyly pending pinto beans sleep car
198067,4,55922.88,0.08,R,blithely ex
97451,5,23175.20,0.06,R,blithely regular theodolites snooze blit
42888,6,20139.68,0.09,R,carefully s
191759,1,16656.75,0.09,N,never final theodolites nod
189981,1,82839.20,0.05,N,final requests cajole! q
3839,2,24399.62,0.07,N,slyly even
188322,1,64874.72,0.05,N,regular
116218,2,43197.35,0.10,N,blithely regular sentiments thro
196629,1,39689.26,0.05,N,carefully regular tithes print fluffil
154736,1,60884.82,0.01,R,blithely regular ideas haggle slyly
42642,2,34862.08,0.00,A,regular dependenci
123805,1,5486.40,0.05,N,quickly regular packages 
179124,2,22859.28,0.06,N,blithely ironic accounts wake fl
121298,3,43536.57,0.09,N,blithely ironic accounts haggle slyly
55176,4,5655.85,0.07,N,accounts cajole. instructions de
142490,5,55169.64,0.08,N,blithely quick accounts haggle s
22352,6,8920.45,0.10,N,regular foxes agains
86203,1,8324.40,0.00,N,blithely special instructions wake daringl
197250,2,20208.75,0.08,N,furiously ironic deposi
168496,3,15644.90,0.01,N,patterns cajole
107229,4,49448.80,0.10,N,carefully stealthy asymp
162111,1,55136.17,0.06,A,quickly regular requests cajole ironi
192916,2,76338.58,0.07,R,quickly iron
138984,3,14160.86,0.04,R,slyly regular packages 
89308,4,32432.50,0.00,R,furiously clo
185454,5,18473.40,0.01,A,furiously 
113665,6,35251.86,0.04,R,ironic
159288,7,61974.88,0.03,R,furiously unusual accounts above th
145767,1,3625.52,0.10,R,packages impress slyl
102501,2,40594.50,0.00,A,carefully unusual theod
127086,3,51201.68,0.10,R,express dugouts against the fluffily 
127682,4,34193.60,0.09,A,quickly bold accounts
157380,1,66119.48,0.05,N,final
79423,2,32255.66,0.02,N,accounts should have to are furiou
56626,3,20574.06,0.00,N,regular accounts nag. foxes about t
97851,4,25883.90,0.06,N,express accounts 
168002,5,34240.00,0.04,N,pending deposits wake slyly quickly bold
181815,1,22761.72,0.01,R,carefully pending accounts detect quickly
197203,1,44206.80,0.00,R,bold packages among the sl
187016,2,4412.04,0.00,A,slyly pending deposits sleep
169700,3,40703.10,0.04,A,sauternes affix against the furiously 
140786,4,21921.36,0.04,A,carefully even excuses cajole car
174837,5,57354.90,0.02,A,furiously eve
84489,1,41257.44,0.00,N,ironic excuses use
3502,2,70275.00,0.07,N,slyly unusual asymptotes boost furiousl
48733,3,20180.76,0.05,N,deposits sleep furiously. acco
43470,4,66433.09,0.09,N,carefully ironic deposits
187523,5,48315.60,0.07,N,final theodolites boost quickly about the
1206,1,24358.40,0.10,N,slyly regular accounts nag abo
65211,2,41167.35,0.00,N,close escapa
198037,3,32915.87,0.06,N,bold deposits doze ironically regula
186404,1,37260.00,0.03,N,even deposits throug
90396,2,30500.58,0.09,N,unusual
101309,1,60273.80,0.04,A,carefully unusual forges may hag
95395,2,20855.85,0.08,A,bravely regular pinto be
101553,3,37309.20,0.08,A,blithely express accounts nag behind th
191891,4,31726.24,0.01,A,fluffily regular excuses are
100006,5,48288.00,0.09,R,theodolites sleep furiously. s
191966,6,100840.04,0.02,A,dogged instructions alongside of th
191460,1,32580.66,0.01,N,carefully ironic accounts affix slyly. regu
195813,1,74443.59,0.06,N,bold pinto
17862,2,3559.72,0.00,N,carefully fluffy packages integrate a
5964,3,56098.80,0.06,N,furiously final deposits haggle blith
24493,4,52447.13,0.10,N,ideas above the deposits cajole s
46500,5,67985.50,0.06,N,special
111635,6,70805.09,0.10,N,hockey player
48062,7,33331.98,0.01,N,ironic foxes against t
175068,1,41150.16,0.02,A,bold foxes are-- quickly ironic excuses wa
159077,2,4544.28,0.01,R,bold
180119,1,46765.29,0.09,N,bold multipliers haggle about the b
53281,2,30857.00,0.03,N,slyly regular requests cajole furi
6983,1,22679.76,0.10,N,blithely unusual requests solve above the
160505,2,59489.00,0.03,N,quickly bold packages above the 
6393,3,18191.46,0.02,N,furiously even accounts engage fu
41262,4,8422.82,0.06,N,doggedly ironic depths are deposits. som
77402,5,17932.20,0.09,N,finally bold attainments wa
81921,6,43767.16,0.08,N,accounts wake alongside of the slyly
52698,1,57774.15,0.10,R,regular
83007,2,9900.00,0.05,R,blithely even dolphins sleep slyly against 
85119,3,38643.85,0.03,R,never ironic packages haggle. furiousl
179834,4,19138.30,0.08,A,regular
53649,5,67310.88,0.02,A,dependencies boost carefully blithe
99317,1,6581.55,0.06,A,quickly regular dep
10005,2,28365.00,0.02,A,pending foxes haggle. quickly 
150082,3,44151.12,0.06,A,fluffily pending ideas nag. c
28056,4,27553.40,0.10,R,fluffily final accounts sleep ste
133007,5,9360.00,0.09,R,pains breach furiously
39505,6,62113.50,0.07,A,slyly regular instructio
182652,1,84997.85,0.08,N,theodolites use furiously afte
16038,2,2862.09,0.10,N,slyly pending deposits shall have to wake 
147809,3,63131.20,0.02,N,blithely thin ideas doze. furio
14993,4,15263.92,0.00,N,pending ideas are slyly. orbits use blithel
176160,5,54391.04,0.09,N,express
119813,6,3665.62,0.07,N,pinto beans ab
31640,1,25146.24,0.10,N,quickly iron
173244,2,27662.04,0.01,R,platelets impress
107093,3,22001.80,0.01,N,slyly regular instructio
71833,1,68583.54,0.00,N,quickly special requests 
84262,2,26171.46,0.04,N,furiously unusual packages are quickly
175028,3,28678.52,0.01,N,pending instructions wake along the s
5111,1,13209.43,0.10,R,slyly express requests wake sl
94616,2,33822.81,0.05,A,blithely express in
2700,3,33656.70,0.05,A,furiously quiet real
163556,4,19434.60,0.08,A,final decoys
73144,5,50271.30,0.01,R,foxes cajole furiously among the st
121868,6,18898.60,0.08,A,blithely pen
25641,7,17233.04,0.01,A,packages sleep slyly final packages. sheav
142568,1,64422.40,0.08,A,slyly blithe accounts nod fl
132751,2,60647.50,0.08,A,warthogs sleep accounts. package
130920,3,85840.48,0.07,R,blithely pending accounts haggle fur
156598,4,29782.62,0.09,R,regular
131708,5,33054.30,0.08,A,slyly unusual ideas detect. even
53401,1,10835.20,0.07,N,furiously regular foxes wake carefully qu
98771,2,37165.17,0.08,N,fluffily unusual requests a
125293,1,39548.70,0.08,A,even excuses along the
198375,2,2946.74,0.02,A,regular foxes according to the 
75519,3,65758.44,0.04,R,even
37511,4,30418.71,0.01,A,fluffily ironic pinto beans
197826,1,48095.50,0.07,N,dependencies along the fluffily speci
56623,2,45808.98,0.07,N,deposits according to t
46414,3,16324.92,0.01,N,ironically regular theodolites sleep ir
75351,4,34485.10,0.08,N,instructions on the
104752,1,1756.75,0.04,N,carefully final packages cajole fur
159749,2,39792.28,0.08,N,express instructions integr
90335,3,5301.32,0.04,N,quickly final requests play blith
116568,1,77643.44,0.00,R,slyly brave packages cajole? fu
154875,2,94563.63,0.01,A,carefully slow accou
180228,3,62794.56,0.07,A,accounts are quickly. slyly ironic
79226,4,12052.20,0.09,R,carefully permanent ideas cajo
142418,5,43812.30,0.02,R,slyly regular account
11627,6,16924.82,0.02,R,carefully regular in
149,7,19933.66,0.08,A,dolphins ac
102949,1,87837.30,0.01,A,bold
47411,2,32601.84,0.05,A,regular co
53556,1,1509.55,0.04,R,fluffily regular asympt
111833,2,70103.54,0.05,A,unusual dinos believe
161174,3,11116.53,0.05,A,pending foxes detect bold pinto bean
144119,1,41871.96,0.06,R,blithely regular deposits use quick
6951,2,20437.45,0.03,A,quick epitaphs cajole
106431,1,47435.19,0.09,N,furiously ironic accounts need to ar
184562,2,46103.68,0.02,N,furiously ironic pinto beans kindle quickly
187915,1,12017.46,0.09,N,carefully thin deposits are afte
83534,2,27315.54,0.03,N,carefully regular requests across the qu
140671,3,78736.82,0.05,N,doggedly regular ideas wake quickly sp
56565,1,59340.84,0.03,A,dogged accounts sleep blithel
87341,2,31880.16,0.08,R,quickly daring inst
133708,1,34834.00,0.10,N,fluffily ironic pinto beans dazzle 
28244,2,31650.48,0.05,N,carefully express pinto beans 
94785,3,40934.94,0.10,N,blithely regular requests sleep around t
43152,4,19712.70,0.09,N,blithely special do
157077,1,26083.61,0.07,N,blithely bold foxes c
188315,2,65955.57,0.08,N,furiously ironic requests
129655,1,57278.10,0.03,N,carefully even deposits run. quickly reg
97941,2,13572.58,0.01,N,quickly final platelets against the silent 
79304,3,43632.20,0.03,N,blithely even
197300,1,22356.80,0.07,R,fluffily regular packages above the exp
19188,2,3321.54,0.02,A,bold
86034,3,15300.45,0.00,R,slyly regular orbits ar
168398,4,49857.26,0.09,A,special dolphins use blithely. 
135703,1,8693.50,0.08,R,final requests haggle slyly of 
138798,1,12857.53,0.04,A,special
167908,1,15807.20,0.06,R,regular
28659,2,20639.45,0.05,R,slyly ironic platelets haggle fu
67432,3,26589.17,0.09,R,carefully express packages according
121059,4,46442.15,0.02,A,special
24498,5,38407.23,0.04,R,quickly ironi
124220,6,23640.18,0.02,R,express
62275,1,33406.29,0.07,N,silent foxes according to the bol
46068,2,36506.16,0.04,N,even requests wake slyly above the accoun
49110,1,38127.96,0.04,A,finally re
185850,2,9679.25,0.06,A,deposits against th
96392,1,66642.72,0.10,N,slyly even ex
54591,2,72642.73,0.07,N,furiously blithe packages accordin
107967,3,25674.48,0.09,N,express pinto beans are across the bold
189917,4,58200.39,0.06,N,slyly final requests wake sl
127480,5,12059.84,0.00,N,packages w
142499,6,40078.74,0.00,N,furiously regular 
173371,7,5777.48,0.00,N,slyly bold ins
38675,1,75842.49,0.07,R,silent
197621,2,17186.20,0.03,A,silently special
1925,3,12788.44,0.09,A,blithely ironi
151663,4,18861.26,0.08,A,pending accou
187481,5,53328.32,0.00,R,slyly regular deposits alongside of the 
176862,6,85309.84,0.09,R,even foxes use slyly; requests affix final 
108889,7,20876.68,0.01,A,express pinto beans are alon
90450,1,21606.75,0.07,R,furiously regul
183170,2,32582.42,0.05,N,accounts along 
125704,3,22486.10,0.07,A,furiously regular deposit
101182,4,2366.36,0.08,R,blithely ironic requests sleep at
160159,1,10972.35,0.07,A,slyly even asymptotes wake slyly special 
178512,2,58848.87,0.03,A,carefully silent at
48242,3,13092.64,0.01,A,furiously bold packages are furi
192166,4,45293.76,0.04,R,carefully express
60085,1,18811.44,0.04,N,special
46070,2,25401.75,0.00,N,fluffily brave req
84976,3,7843.88,0.09,N,deposits wake. iron
179704,4,24971.80,0.05,N,carefully furious
70776,5,6987.08,0.06,N,express asymptotes acco
119083,6,51797.76,0.00,N,accounts are 
13423,7,14700.62,0.02,N,slyly regular requests grow furiously ir
198532,1,71743.32,0.01,R,blithely fin
114624,2,78653.76,0.08,A,dependencies must caj
74130,3,26499.12,0.03,R,brave requests n
21113,1,37227.96,0.01,N,slyly ironic pac
45222,2,2334.44,0.09,N,furiously dogged as
42615,3,57631.57,0.04,N,silent depo
17758,4,18433.25,0.00,N,fluffy instructions nag
110509,1,4558.50,0.06,R,slyly ironic instructions are slyly ev
117211,2,9825.68,0.06,R,slyly unus
164836,3,45619.92,0.02,R,furiously pending depo
64367,1,35946.72,0.04,N,blithely reg
8890,2,62961.15,0.06,N,fluffily regular theodolites affix quickl
8238,3,37825.59,0.02,N,enticingly regular gifts un
55408,4,12270.60,0.09,N,ironic platelets around the spec
41041,5,982.04,0.04,N,carefully regular accounts are carefu
167067,6,14742.78,0.07,N,evenly fin
168148,1,35268.06,0.07,R,fluffily even asymptotes about the instruct
47775,2,41346.48,0.05,A,blithely final dolphins use. bl
151774,3,83985.42,0.08,A,furiously 
51313,4,54365.33,0.10,A,deposits mold. pinto bean
11725,5,62195.36,0.02,N,slyly express accounts across the furious
54038,6,49601.50,0.05,N,even frays use fu
10337,7,13720.63,0.00,A,blithely bold gifts sl
128672,1,76530.15,0.09,R,doggedly ironic deposi
174218,2,56857.24,0.02,A,quickly final excuses caj
73036,3,14126.42,0.06,A,fluffily ironic requests thr
101639,4,11484.41,0.06,A,idle
44804,1,62956.80,0.10,R,regularly ironic deposits are furiously a
17295,2,56977.63,0.08,A,quickly regular depos
64230,3,11942.30,0.07,A,carefully close war
99635,4,34327.23,0.06,A,bold packages integrate quickly.
163239,5,65111.50,0.03,A,final requests wake furiously pending 
144557,6,16015.50,0.00,A,furiously quiet 
166196,7,37865.70,0.07,R,slyly even deposits nag slyly ironic
39783,1,31010.04,0.00,A,slyly even accounts can
16788,2,17047.80,0.05,A,carefully pending asymptotes sleep qu
146052,3,52706.40,0.01,A,carefully r
81324,4,49602.16,0.08,A,regular
43763,1,69977.16,0.01,N,blithely ironic requests cajo
48267,1,27950.98,0.02,R,thinly pen
12132,2,28191.51,0.02,R,furiously bold theodolites wake even ac
99192,3,30970.94,0.05,A,slyly even dept
117900,1,34522.20,0.07,N,furiously even pinto be
27410,1,30760.43,0.05,N,carefully even 
64553,2,34903.65,0.02,N,carefully ironic m
134031,3,38341.08,0.06,N,evenly ironic foxes are caref
57192,4,14939.47,0.08,N,furiously unu
12130,5,8337.04,0.02,N,bold packages use. caref
58299,6,1257.29,0.01,N,furiously regular deposits haggl
106999,1,2005.99,0.07,A,requests sleep according to t
116212,2,30705.25,0.06,R,final theodolites are
174776,3,59224.64,0.01,R,busily final inst
117921,1,13572.44,0.10,N,quickly pending 
90469,2,26270.28,0.09,N,slyly ironic accounts cajole acco
96938,3,81267.06,0.06,N,special
33476,4,40874.63,0.00,N,carefully ev
25276,5,45648.26,0.03,N,final deposits engage 
196988,6,62549.40,0.09,N,enticing ideas run f
56598,1,55965.24,0.01,R,furiously regu
35276,2,32704.29,0.09,A,pending plate
79649,3,4885.92,0.07,A,unusual deposits eat quickly accordi
56308,4,25286.00,0.04,R,carefully 
151996,5,24575.88,0.02,A,quickly ironic depo
187354,6,7206.75,0.02,A,slyly unusual t
193152,1,8716.05,0.01,R,final
97483,2,71063.04,0.10,R,furiously i
198936,1,79362.27,0.04,N,carefully regular accounts cajole slyly
112231,2,1243.23,0.02,N,final platelets wak
56790,3,85592.71,0.01,N,furiously regular asymptot
54514,4,64614.44,0.05,N,slyly final theodolites cajol
107207,1,24284.00,0.04,N,furiously even deposits maintain
17015,2,21436.23,0.06,N,carefully express theodol
179337,1,26910.27,0.07,N,bold deposits across the
116560,2,66215.52,0.02,N,regular
21218,3,47846.82,0.06,N,quickly regula
4189,4,21863.60,0.04,N,pending deposits sleep fl
58957,1,78553.95,0.05,R,unusual
84402,2,5545.60,0.01,A,slyly regular theodolites among the
131550,3,15815.50,0.00,A,bold deposit
147690,4,85146.81,0.01,A,carefully regular reques
16893,5,74205.49,0.08,A,carefully special deposits haggle by the 
105311,6,22377.27,0.05,A,final ideas alongside 
160878,7,34899.66,0.00,A,special
59906,1,26122.60,0.10,N,unusual ideas boost fluff
37967,2,64768.64,0.02,N,carefully brave accounts 
104722,3,51801.60,0.10,N,permanent packages are blithely. express
47212,4,24343.41,0.06,N,deposits nod final
91050,5,7287.35,0.09,N,blithely express foxes are quickly qui
74101,6,44079.10,0.10,N,quickly unusual requests haggle fur
174476,1,51165.51,0.01,N,fluffily express reque
2145,2,29319.92,0.06,N,furiously special ideas above the special
39924,3,18639.20,0.03,N,slyly regular requests 
190751,4,73670.00,0.01,N,slyly express excuses haggle blithely aga
145484,5,50472.84,0.09,N,fluffily ironic excuses affix
136979,6,70558.95,0.04,N,slyly special deposits after the pending ac
4967,7,28079.40,0.09,N,furiously express instructions should
64486,1,5801.92,0.07,R,slyly even depend
9177,2,11947.87,0.01,R,silent instructions above the blithely i
30745,3,8378.70,0.08,A,slyly even
130471,4,37536.75,0.10,A,even
172294,1,20494.35,0.08,N,furiously silent pinto beans maintain unusu
128707,2,48599.60,0.08,N,furiously regular deposi
165067,3,50942.70,0.00,N,accounts wake blithely expres
65736,4,42543.25,0.01,N,slyly bold requests are blithely. slyly r
23196,5,20145.42,0.06,N,unusual platelets breach. slyly fin
172396,1,63140.77,0.03,N,slyly regular packages after the quic
162614,1,18442.71,0.00,N,theodolites haggle slyly according to 
47438,2,23552.31,0.03,N,slyly bold requests affix about the regul
9924,1,40346.24,0.04,A,furiously even ideas sleep according to t
180410,2,10432.87,0.10,R,slyly regular deposits sleep ac
141752,3,53812.50,0.05,A,carefully 
10143,4,6318.84,0.09,R,excuses sl
72407,5,1379.40,0.04,R,furiously bold forges al
60071,1,35056.38,0.00,R,quickly ironic foxes are blithely
198758,2,76126.75,0.08,A,unusual
